player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,1119,556,-3.301457893219844,.9638953750161054,-2.337562518203738,-.9893598555101126,2.843677362675005,1.854317507164892,-3.041003316333139,1.421115921067674,-1.619887395265465,.3184484624047745,.3184484624047745,0,-3.134362965788144,1.630348094471852,-1.504014871316292,-.6657950584388548
Steven Adams,adamsst01,2022,1232,592,.7683963295702485,1.477240003134775,2.245636332705024,3.990748754203316,-1.398990711555718,2.591758042647599,1.474330507470765,1.006994616814791,2.481325124285555,1.583408653711718,1.583408653711718,0,2.324027160538539,1.195433132714946,3.519460293253485,.2121098434424939
Bam Adebayo,adebaba01,2022,1213,592,-1.12134543667377,2.218329603028816,1.096984166355046,-4.421043523284185,6.030306909437744,1.609263386153559,-1.903489755519374,3.136756768467342,1.233267012947968,1.213297828816468,1.213297828816468,0,-1.411581840345132,2.731698122315242,1.32011628197011,.8486462049426924
Santi Aldama,aldamsa01,2022,283,136,-1.349090184868572,-4.870010761687612,-6.219100946556184,.8037874559961706,8.396442440348032,9.200229896344203,-1.024766507561591,-2.422190632865412,-3.446957140427002,-.0484674658120237,-.0484674658120237,0,.4551181332781425,-3.576122877477154,-3.121004744199012,.222676293936141
LaMarcus Aldridge,aldrila01,2022,1125,542,1.107151283378257,2.081537693134706,3.188688976512963,5.164807795333489,-.5179981861997998,4.646809609133689,1.999188208115232,1.620822192761146,3.620010400876378,1.740806277956259,1.740806277956259,0,1.445363086878711,.2253189862319906,1.670682073110701,-1.175510696478471
Nickeil Alexander-Walker,alexani01,2022,1545,749,-1.709155278966024,-1.28389217545119,-2.993047454417213,2.797993030917232,-2.784936451506692,.0130565794105406,-.8126702694921695,-1.617892984204405,-2.430563253696575,.1231400550994697,.1231400550994697,0,.7648341340315669,-1.214900572014294,-.4500664379827276,.8780262050209837
Grayson Allen,allengr01,2022,1458,693,2.449424967215012,-.7238580959702202,1.725566871244792,2.650686000547434,2.104537183115257,4.755223183662691,2.62749028220124,-.2043116285440371,2.423178653657203,1.828757442313056,1.828757442313056,0,1.809594623856394,-.630365302537185,1.179229321319209,-.0173015647703909
Jarrett Allen,allenja01,2022,1513,736,-.0471722138726142,3.701201605070193,3.654029391197579,.0478161794178686,3.573212896593554,3.621029076011423,-.0282641891281605,3.844358434644429,3.816094245516269,2.471164082701128,2.471164082701128,0,-.0737855366520488,4.139085565276755,4.065300028624706,.2252926727349202
Jose Alvarado,alvarjo01,2022,87,38,3.829162099529755,4.050658327185739,7.879820426715495,17.69957028297393,12.17700000421907,29.876570287193,7.032843196593619,6.120775866910953,13.15361906350457,.308641007642377,.308641007642377,0,7.443178921334135,3.30474755296841,10.74792647430255,.1000087028250845
Kyle Anderson,anderky01,2022,971,455,-.7279320883992906,-2.345156860650794,-3.073088949050085,-7.120984684942707,-6.947390545684391,-14.0683752306271,-2.12431220842813,-3.432887035329229,-5.557199243757358,-.6489992816234393,-.6489992816234393,0,-.7799226656683927,-2.345346016765998,-3.125268682434391,-.4096960961727041
