player_name,player_id,MPG
Taj Gibson,gibsota01,26.5
Manu Ginóbili,ginobma01,19.6
Rudy Gobert,goberru01,31.7
Drew Gooden,goodedr01,10.2
Archie Goodwin,goodwar01,19.5
Aaron Gordon,gordoaa01,23.9
Eric Gordon,gordoer01,32.9
Marcin Gortat,gortama01,30.1
Andrew Goudelock,goudean01,6.3
Jerami Grant,grantje01,26.8
Jerian Grant,grantje02,16.6
Danny Green,greenda02,26.1
Draymond Green,greendr01,34.7
Erick Green,greener01,4.7
Erick Green,greener01,2.3
Erick Green,greener01,5.8
Gerald Green,greenge01,22.6
JaMychal Green,greenja01,18.5
Jeff Green,greenje02,28.2
Jeff Green,greenje02,29.1
Jeff Green,greenje02,26.3
Blake Griffin,griffbl01,33.4
Jorge Gutiérrez,gutiejo01,5.3
P.J. Hairston,hairspj02,19.9
P.J. Hairston,hairspj02,19.5
P.J. Hairston,hairspj02,20.8
Jordan Hamilton,hamiljo02,27.6
Tyler Hansbrough,hansbty01,7.8
Tim Hardaway Jr.,hardati02,16.9
James Harden,hardeja01,38.1
Maurice Harkless,harklma01,18.7
Justin Harper,harpeju01,7
Montrezl Harrell,harremo01,9.7
Devin Harris,harride01,20
Gary Harris,harriga01,32.1
Joe Harris,harrijo01,3
Tobias Harris,harrito02,33.1
Tobias Harris,harrito02,32.9
Tobias Harris,harrito02,33.4
Aaron Harrison,harriaa01,4.4
Udonis Haslem,hasleud01,7
Spencer Hawes,hawessp01,18.2
Chuck Hayes,hayesch01,12
Gordon Hayward,haywago01,36.2
Gerald Henderson,hendege02,19.9
John Henson,hensojo01,16.8
Mario Hezonja,hezonma01,17.9
Roy Hibbert,hibbero01,23.2
J.J. Hickson,hicksjj01,12.5
J.J. Hickson,hicksjj01,15.3
J.J. Hickson,hicksjj01,8.7
Nenê,hilarne01,19.2
George Hill,hillge01,34.1
Jordan Hill,hilljo01,20.7
Solomon Hill,hillso01,14.7
Darrun Hilliard,hillida01,10.1
Kirk Hinrich,hinriki01,13.7
Kirk Hinrich,hinriki01,15.9
Kirk Hinrich,hinriki01,6.9
Jrue Holiday,holidjr01,28.2
Justin Holiday,holidju01,14.6
Justin Holiday,holidju01,10.1
Justin Holiday,holidju01,18.9
Ryan Hollins,holliry01,12.4
Ryan Hollins,holliry01,9.6
Ryan Hollins,holliry01,12.9
Rondae Hollis-Jefferson,holliro01,21.2
Richaun Holmes,holmeri01,13.8
Rodney Hood,hoodro01,32.2
Al Horford,horfoal01,32.1
Dwight Howard,howardw01,32.1
Marcelo Huertas,huertma01,16.4
Josh Huestis,huestjo01,11
Kris Humphries,humphkr01,15.8
Kris Humphries,humphkr01,16.6
Kris Humphries,humphkr01,18.5
Kris Humphries,humphkr01,14
R.J. Hunter,hunterj01,8.8
Serge Ibaka,ibakase01,32.1
Andre Iguodala,iguodan01,26.6
Ersan İlyasova,ilyaser01,25.4
Ersan İlyasova,ilyaser01,27.6
Ersan İlyasova,ilyaser01,20.3
Joe Ingles,inglejo01,15.3
Damien Inglis,inglida01,7.8
Kyrie Irving,irvinky01,31.5
Jarrett Jack,jackja01,32.1
Reggie Jackson,jacksre01,30.7
LeBron James,jamesle01,35.6
Al Jefferson,jeffeal01,23.3
Cory Jefferson,jeffeco01,6.3
Richard Jefferson,jefferi01,17.9
John Jenkins,jenkijo01,11.2
John Jenkins,jenkijo01,9.2
John Jenkins,jenkijo01,13
Brandon Jennings,jennibr01,18.1
Brandon Jennings,jennibr01,18.1
Brandon Jennings,jennibr01,18.1
Jonas Jerebko,jerebjo01,15.1
Amir Johnson,johnsam01,22.8
Chris Johnson,johnsch04,12.2
James Johnson,johnsja01,16.2
Joe Johnson,johnsjo02,33.4
Joe Johnson,johnsjo02,33.9
Joe Johnson,johnsjo02,32
Orlando Johnson,johnsor01,14.4
Orlando Johnson,johnsor01,23.5
Orlando Johnson,johnsor01,10.8
Stanley Johnson,johnsst04,23.1
Tyler Johnson,johnsty01,24
Wesley Johnson,johnswe01,20.8
Nikola Jokić,jokicni01,21.7
Dahntay Jones,jonesda02,42
James Jones,jonesja02,9.6
Terrence Jones,joneste01,20.9
Tyus Jones,jonesty01,15.5
DeAndre Jordan,jordade01,33.7
Cory Joseph,josepco01,25.6
Chris Kaman,kamanch01,7
Frank Kaminsky,kaminfr01,21.1
Sergey Karasev,karasse01,10
Sasha Kaun,kaunsa01,3.8
Ryan Kelly,kellyry01,13.1
Michael Kidd-Gilchrist,kiddgmi01,29.3
Sean Kilpatrick,kilpase01,19.9
Sean Kilpatrick,kilpase01,10.3
Sean Kilpatrick,kilpase01,23.2
Brandon Knight,knighbr03,36
Kyle Korver,korveky01,30
Kosta Koufos,koufoko01,19
Jeremy Lamb,lambje01,18.6
Carl Landry,landrca01,15.8
Shane Larkin,larkish01,22.4
Joffrey Lauvergne,lauvejo01,17.6
Zach LaVine,lavinza01,28
Ty Lawson,lawsoty01,21.4
Ty Lawson,lawsoty01,22.2
Ty Lawson,lawsoty01,18.1
Courtney Lee,leeco01,29.5
Courtney Lee,leeco01,29.2
Courtney Lee,leeco01,30.2
David Lee,leeda02,16.4
David Lee,leeda02,15.7
David Lee,leeda02,17.3
Alex Len,lenal01,23.3
Kawhi Leonard,leonaka01,33.1
Meyers Leonard,leoname01,21.9
Jon Leuer,leuerjo01,18.7
Damian Lillard,lillada01,35.7
Jeremy Lin,linje01,26.3
Shaun Livingston,livinsh01,19.5
Kevon Looney,looneke01,4.2
Brook Lopez,lopezbr01,33.7
Robin Lopez,lopezro01,27.1
Kevin Love,loveke01,31.5
Kyle Lowry,lowryky01,37
Trey Lyles,lylestr01,17.3
Shelvin Mack,macksh01,20.3
Shelvin Mack,macksh01,7.5
Shelvin Mack,macksh01,31.4
Ian Mahinmi,mahinia01,25.6
Devyn Marble,marblde01,8.9
Boban Marjanović,marjabo01,9.4
Kendall Marshall,marshke01,13.3
Jarell Martin,martija01,14.1
Kevin Martin,martike02,19.9
Kevin Martin,martike02,21.4
Kevin Martin,martike02,16.3
Wesley Matthews,matthwe02,33.9
O.J. Mayo,mayooj01,26.6
Luc Mbah a Moute,mbahalu01,17
James Michael McAdoo,mcadoja01,6.4
Ray McCallum,mccalra01,11.6
Ray McCallum,mccalra01,8.3
Ray McCallum,mccalra01,21.9
CJ McCollum,mccolcj01,34.8
T.J. McConnell,mccontj01,19.8
Chris McCullough,mcculch01,15.1
K.J. McDaniels,mcdankj01,6.4
Doug McDermott,mcderdo01,23
Mitch McGary,mcgarmi01,3.6
JaVale McGee,mcgeeja01,10.9
Ben McLemore,mclembe01,21.2
Jordan McRae,mcraejo01,8.9
Jordan McRae,mcraejo01,11.7
Jordan McRae,mcraejo01,7.5
Josh McRoberts,mcrobjo01,14.2
Jodie Meeks,meeksjo01,14.3
Salah Mejri,mejrisa01,11.7
Jordan Mickey,mickejo01,3.6
Khris Middleton,middlkh01,36.1
C.J. Miles,milescj01,22.9
Andre Miller,millean02,11.8
Andre Miller,millean02,10.8
Andre Miller,millean02,13.9
Mike Miller,millemi01,7.9
Patty Mills,millspa02,20.5
Elijah Millsap,millsel01,8.7
Paul Millsap,millspa01,32.7
Nikola Mirotić,mirotni01,24.9
Nazr Mohammed,mohamna01,3.8
Greg Monroe,monrogr01,29.3
Luis Montero,montelu01,3.5
E'Twaun Moore,mooreet01,21.4
Eric Moreland,moreler01,6
Marcus Morris,morrima03,35.7
Markieff Morris,morrima02,25.5
Markieff Morris,morrima02,24.8
Markieff Morris,morrima02,26.4
Anthony Morrow,morroan01,13.6
Donatas Motiejūnas,motiedo01,14.8
Timofey Mozgov,mozgoti01,17.4
Emmanuel Mudiay,mudiaem01,30.4
Shabazz Muhammad,muhamsh01,20.5
Xavier Munford,munfoxa02,17.4
Mike Muscala,muscami01,9.4
Larry Nance Jr.,nancela02,20.1
Shabazz Napier,napiesh01,10.9
Gary Neal,nealga01,20.2
Jameer Nelson,nelsoja01,26.6
Raul Neto,netora01,18.5
Andrew Nicholson,nichoan01,14.7
Joakim Noah,noahjo01,21.9
Nerlens Noel,noelne01,29.3
